Name,Company,Type of industry,CO2 emissions [t],Type of source,Location (city),Provincia,latitude,longitude
C.T.SAN MARTIN NORTE 3A,,Biogas Power Plant,33507,Biogenic point source,,BUENOS AIRES,,
CT SAN MIGUEL NORTE III-ENARSA,,Biogas Power Plant,75555,Biogenic point source,,BUENOS AIRES,,
ENERGIA AGRO S.A.U,,Biogas Power Plant,9296.55,Biogenic point source,,SANTA FE,,
BIOGAS CTBG TIGONBU,,Biogas Power Plant,13140,Biogenic point source,,SAN LUIS,,
BIOGAS CTBG VILLA DEL ROS. CGY,,Biogas Power Plant,6570,Biogenic point source,,CORDOBA,,
BIOGAS CTBG VENADO TUERTO,,Biogas Power Plant,13797,Biogenic point source,,SANTA FE,,
BIO ENERG��?A YANQUETRUZ S.A.,,Biogas Power Plant,9855,Biogenic point source,,SAN LUIS,,
BIOGAS CTBG ENRECO,,Biogas Power Plant,13140,Biogenic point source,,CORDOBA,,
CTBG BIO ENERG��?A YANQUETRUZ II,,Biogas Power Plant,5256,Biogenic point source,,SAN LUIS,,
CTBG BIO. SANTA CATALINA,,Biogas Power Plant,13140,Biogenic point source,,CORDOBA,,
BIOGAS CTBG AB ENERG��?A,,Biogas Power Plant,13140,Biogenic point source,,LA PAMPA,,
CT BIOMASA MM BIOENERG��?A,,Biogas Power Plant,19710,Biogenic point source,,MISIONES,,
CTBRS SAN MART��?N NORTE III-D,,Biogas Power Plant,33507,Biogenic point source,,BUENOS AIRES,,
BIOGAS CTBG ARRE BEEF SA,,Biogas Power Plant,9855,Biogenic point source,,BUENOS AIRES,,
BIOGAS CT RESENER SA,,Biogas Power Plant,5256,Biogenic point source,,BUENOS AIRES,,
CTBG POLLOS SAN MATEO,,Biogas Power Plant,15768,Biogenic point source,,CORDOBA,,
CTBG GENERAL VILLEGAS Ren 2,,Biogas Power Plant,8015.4,Biogenic point source,,BUENOS AIRES,,
YPF Plaza Huincul,YPF SA,Methanol,275370,Industrial point source,,Neuqu?n,,
Arauco General San Martin,Arauco Argentina S.A. ,Methanol,33500,Industrial point source,,Santa Fe,,
La Plata Refinery,YPF SA,Refinery,2224965.517,Industrial point source,,,,
Lujan de Cuyo Refinery,YPF SA,Refinery,1229586.207,Industrial point source,,,,
Plaza Huincul Refinery,YPF SA,Refinery,292758.6207,Industrial point source,,,,
Raizen Dock Sud,Raizen,Refinery,1171034.483,Industrial point source,,,,
Axion Campana Refinery,PAE,Refinery,1171034.483,Industrial point source,,,,
DAPSA,,,0,Industrial point source,,,,
Dock Sud Refinery,,Refinery,0,Industrial point source,,,,
REFINOR Campo Duran Refinery,,Refinery,351310.3448,Industrial point source,,,,
TRAFIGURA Bahia Blanca Refinery,,Refinery,351310.3448,Industrial point source,,,,
OIL Combustibles San Lorenzo Refinery,,Refinery,0,Industrial point source,,,,
PAMPA ENERGIA SA,,Etileno,25916,Industrial point source,Pto General San Mart��?n,Santa Fe,,
PBB Polisur S.A.,,Etileno,229900,Industrial point source,Bahia Blanca,Buenos Aires,,
PBB Polisur S.A.,,Etileno,355300,Industrial point source,Bahia Blanca,Buenos Aires,,
